Episode,Steps,TotalReward,ActorLoss,CriticLoss,MeanValue,ValueStd,MeanReturn,ClipFraction
1696,99,9.13,-0.0154,0.0450,-0.61,10.06,-5.92,0.0000
1712,111,7.16,-0.0177,0.0534,0.33,10.81,-2.23,0.0000
1728,88,-3.48,-0.0218,0.0507,2.70,12.50,15.06,0.0000
1744,93,9.42,-0.0231,0.0500,16.88,21.88,23.06,0.0000
1760,106,-6.03,-0.0213,0.0522,2.33,21.25,-7.43,0.0000
1776,83,1.79,-0.0355,0.0448,10.31,19.12,14.65,0.0000
1792,118,-7.79,-0.0296,0.0533,3.78,14.75,4.67,0.0000
1808,98,12.80,-0.0234,0.0573,0.58,4.62,-27.54,0.0000
1824,105,-8.90,-0.0312,0.0576,3.77,18.12,-9.58,0.0000
1840,85,-15.49,-0.0215,0.0519,0.57,8.12,-0.54,0.0000
1856,106,-96.30,-0.0329,0.0905,0.50,17.25,-2.60,0.0000
1872,96,-45.32,-0.0111,0.0823,-1.61,8.75,-1.78,0.0000
1888,102,-13.96,-0.0174,0.0691,-35.00,16.25,-72.61,0.0000
1904,101,-71.70,-0.0241,0.0789,-43.00,9.44,-68.65,0.0000
1920,72,-101.02,-0.0348,0.0958,-4.88,16.75,-12.12,0.0000
1936,96,-54.03,-0.0138,0.0782,-42.75,11.81,-26.35,0.0000
1952,110,-78.62,-0.0270,0.0765,-23.62,14.69,-12.23,0.0000
1968,85,-34.58,-0.0210,0.0677,-37.25,14.50,-16.06,0.0000
1984,115,-54.07,-0.0154,0.0661,-65.00,20.75,-86.54,0.0000
2000,103,-45.81,-0.0238,0.0868,-28.62,19.50,-20.18,0.0000
2016,93,-21.00,-0.0214,0.0625,-7.75,15.88,3.39,0.0000
2032,124,-58.14,-0.0196,0.0694,-31.00,20.12,-35.51,0.0000
2048,105,11.48,-0.0347,0.0546,-14.38,14.06,-17.96,0.0000
2064,149,-44.29,-0.0194,0.0714,-26.62,20.12,-16.84,0.0000
2080,121,-50.64,-0.0285,0.0867,-8.06,17.88,-7.14,0.0000
2096,137,-26.67,-0.0251,0.0818,3.14,12.56,12.49,0.0000
2112,95,-15.03,-0.0284,0.0658,-15.12,8.69,-3.14,0.0000
2128,89,-18.37,-0.0262,0.0720,-20.00,12.12,-23.61,0.0000
2144,141,-11.20,-0.0240,0.0633,-30.12,13.06,-31.25,0.0000
2160,130,-2.52,-0.0258,0.0534,-17.12,17.50,-15.21,0.0000
2176,108,-51.34,-0.0210,0.0780,2.17,6.41,2.21,0.0000
2192,89,-138.14,-0.0134,0.0866,14.88,13.06,-25.16,0.0000
2208,96,-123.42,-0.0416,0.0990,7.12,6.03,10.03,0.0000
2224,122,-20.33,-0.0249,0.0730,-23.88,14.19,-14.43,0.0000
2240,100,-37.19,-0.0232,0.0652,1.92,21.75,2.27,0.0000
